method,iter,cer_init_10,cer_init_20,cer_init_30,cer_init_40,cer_init_50
random,0,0.36660548297292744,0.36660548297292744,0.36660548297292744,0.36660548297292744,0.36660548297292744
random,1,0.36335297990701076,0.36335297990701076,0.36335297990701076,0.36335297990701076,0.36335297990701076
random,2,0.364079570136327,0.364079570136327,0.364079570136327,0.364079570136327,0.364079570136327
random,3,0.36530738180377764,0.36530738180377764,0.36530738180377764,0.36530738180377764,0.36530738180377764
random,4,0.3639178415671157,0.3639178415671157,0.3639178415671157,0.3639178415671157,0.3639178415671157
random,5,0.3659287607041173,0.3659287607041173,0.3659287607041173,0.3659287607041173,0.3659287607041173
vis_div,0,0.6061251784340136,0.32952775614120844,0.2423048766733754,0.21404818886140342,0.18440848319792266
vis_div,1,0.3856162078073284,0.27470886160276564,0.22392125913815197,0.1950019573905747,0.17469813984120047
vis_div,2,0.31611097094756835,0.2291995690460875,0.19604990462865796,0.1784511006553688,0.17650703718515287
vis_div,3,0.23912143939823788,0.22514952404716831,0.20446173315877694,0.16192213086418128,0.1338505552036211
vis_div,4,0.2228415794741576,0.2056900526229971,0.20275428561304487,0.1500341911433551,0.13128430990586448
vis_div,5,0.23234702614743893,0.19115421043686417,0.17136335785534912,0.13120364887916475,0.10670015463974813
kmeans_center,0,0.36660548297292744,0.3666138143243807,0.36699153176469584,0.36624059294725037,0.3688838875436512
kmeans_center,1,0.36407612747421425,0.3653042163099182,0.36667249863278084,0.36784980019517455,0.36831456477353897
kmeans_center,2,0.36486459021162887,0.36599067898244886,0.3678082758293316,0.370665145737976,0.3766764595345839
kmeans_center,3,0.36404914716010406,0.36692247245769233,0.36846968730497776,0.3714174141526999,0.37487794020205867
kmeans_center,4,0.3639303895166504,0.36546357536124274,0.36627701396662793,0.3779092481854011,0.3780261709898247
kmeans_center,5,0.36871739959138733,0.3719985643003238,0.37190791093557274,0.3798744782966098,0.378616146097717
entropy,0,0.36660548297292744,0.3666138143243807,0.36699153176469584,0.36624059294725037,0.3688838875436512
entropy,1,0.3647349861457309,0.3633435364300685,0.36545627473921105,0.36940858043171876,0.3676560752921468
entropy,2,0.36214731021769775,0.3639035708068164,0.36731304154264055,0.36923716073903734,0.37779157818023656
entropy,3,0.3677760263251035,0.3661384895742133,0.37447217215503553,0.3744362115419747,0.37269876370130434
entropy,4,0.3632255050207999,0.36965020181598246,0.37035814692135594,0.3808508763473329,0.37561163147078647
entropy,5,0.36139778342523476,0.3665726052254372,0.37207525601410335,0.38103913152699437,0.3764158636732265
vis_div_aug,0,0.08504400880890058,0.0567117140966377,0.05329895776421387,0.050549253927613176,0.06225027636053337
vis_div_aug,1,0.08006486964765788,0.05763693739554933,0.053265159932528186,0.05814473600850403,0.04916500654613783
vis_div_aug,2,0.08328486768823277,0.058320911027902336,0.06496832214226682,0.050880522269400506,
vis_div_aug,3,0.07291812693836378,0.056512011248885705,0.05452455948111967,0.05177466903607196,
vis_div_aug,4,0.06889997562294821,0.05569349364131026,0.04896360059285046,0.06304082510108669,
vis_div_aug,5,0.06794721728968879,0.06887238579484777,0.06038821496819902,0.04974987984893071,
