boost_val,open_word_f1,ood_word_f1
0,0.6106,0.5547
20,0.8936,0.7391
40,0.8942,0.7391
60,0.8942,0.7391
80,0.8942,0.7391
100,0.8942,0.7391
120,0.8942,0.7391
140,0.8942,0.7391
160,0.8942,0.7391
180,0.8942,0.7391
200,0.8942,0.7391
